LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Micheaux,Oscar,,1/1/1884,,,,,"The Wages of Sin,The Gunsaulus Mystery,The Brute,Easy Street,When Men Betray,Uncle Jasper's Will,Thirty Years Later,Birthright,Body and Soul,The Broken Violin,The Conjure Woman,A Daughter of the Congo,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,A Son of Satan,The House Behind the Cedars,Marcus Garland","The Wages of Sin,The Millionaire,The Brute,When Men Betray,Uncle Jasper's Will,Thirty Years Later,Birthright,Body and Soul,The Broken Violin,The Conjure Woman,Deceit,The Devil's Disciple,The Dungeon,The Homesteader,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,A Son of Satan,The House Behind the Cedars,Marcus Garland",,,"The Homesteader,The Broken Violin,The Dungeon,Within Our Gates,The Symbol of the Unconquered,The Virgin of Seminole,Birthright,A Son of Satan,The House Behind the Cedars,The Devil's Disciple,The Conjure Woman,The Millionaire,Thirty Years Later,When Men Betray,Easy Street,Marcus Garland",Micheaux Film Corporation,
Mickey,Arline,,,,,,"Ten Nights in a Barrooom,Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Mills,Billy,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,,
Mills,Jerry,,,,,,The Grafter and the Girl,,,,The Ambitions of William Foster,The Grafter and the Girl,,
Milton,William,,,,,,Smiling Hate,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Miner,Leigh Richmond,,1/1/1864,1/1/35,,,,,"Making Negro Lives Count,John Henry at Hampton: A Kind of Student Who Makes Good,The New Era,Cephas Returns",John Henry at Hampton: A Kind of Student Who Makes Good,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,
Mitchell,Abbie,,,,,,"Eyes of Youth,Uncle Remus' First Visit to New York,The Eyes of Youth",,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,
Monagas,Lionel,,,,,,The Millionaire,,,,Slow Fade to Black,,,
Montgomery,Frank,,,,,,Aladdin Jones,,,,,,,
Moore,W.H.A.,,,,,,,,,,The Ambitions of William Foster,The Fall Guy,,
Moore,Edward,,,,,,"Ten Nights in a Barrooom,Ten Nights in a Bar-Room ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
