LN,FN,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Films
Lawson,Fighting Bob,,,,,,The Fighting Deacon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Mankins,Roxie,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Burton,John,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Pearson,Charles,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Kelson,Anna,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Johnson,John Lester,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Colbert,Frank,,,,,,The Flames of Wrath,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Williams,Mrs. Maris P.,"Maris Williams, Maria P. Williams",,,"""The first colored woman film producer"" (Richards, 60). --MP

Sampson (77) lists her as co-owner of Western Picture Producing Company (with J.I. Williams), but gives her name as Maria P. Williams. --MP",,,,The Flames of Wrath,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,Western Film Production Company,
Dunbar,Dorothy,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Nicholson,Calvin,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
White,Talford,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Dixon,Henry,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sherman,Kathryn,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Chester,Marie,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Yeargan,Arthur,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Butler,William,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Goldman,Lawrence,,,,,,,,The Flaming Crisis,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Cohen,Octavus,,,,,,,,The Florian Slappey Series,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Brown Gravy,,
Chatman,Frank,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Harris,Henry,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Carter,Frank,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Cox,Jewel,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Patterson,Marguerite,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Patton,Jonella,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Wilson,Ben,,,,Mentioned in folder for Ben Roy Productions (GPJ Box 3). --MP,,,,,,George P. Johnson Negro Film Collection,,Ben Roy Productions,
Arnau,Brenda,,,,,,,,,,,,,
Buster Keaton,,,,,,,Steamboat Bill Jr.,,,,,,,
Torrence,Ernest,,,,,,Steamboat Bill Jr.,,,,,,,
Arnster,Willie,,,,,,Steamboat Bill Jr.,,,,,,,
Ford,John,,,,,,,Arrowsmith,,,,,,
Coleman,Ronald,,,,,,Arrowsmith,,,,,,,
Franklin,Wendell,,,,Mentioned in folder for the Art of Love,,,,,,George P. Johnson Negro Film Collection,,,
Hayes,Helen,,,,,,Arrowsmith,,,,,,,
Anson,A.E,,,,,,Arrowsmith,,,,,,,
,,,,,,,,,,,,,,
Bennett,Richard,,,,,,Arrowsmith,,,,,,,
Hopton,King Russell,,,,,,Arrowsmith,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Portman,Eric,,,,,,The Assignment,,,,,,,
Reynolds,Sheldon,,,,,,,The Assignment,,,,,,
Conrad,William,,,,,,,,The Assignment,,,,,
Moore,Tim,,,,"Box 4, Boy What a Girl folder, GPJ collection --MP

GPJ Collection, Box 19, His Great Chance Folder. --MP",,"Boy What a Girl,His Great Chance",,,,George P. Johnson Negro Film Collection,,,
Smith,Elwood,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Williams,Duke,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Jackson,Al,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Guyse,Sheila,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Lewis,Warren,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Mays-Sibil,Betti,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Patterson,Warren,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Stewart,Siam,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Watson,Deck,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Cartlett,Big Sid,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Cornell,Ann,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,
Gregory,Dick,,,,"Box 2, Assault on a Queen folder. GPJ Collection

",,,,,,George P. Johnson Negro Film Collection,,,
Ayers,Benny,,,,"Box 2 Ayers, Benny

",,,,,,George P. Johnson Negro Film Collection,,,
Burns,Sandy,,,,"GPJ, His Great Chance Folder, Box 19. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,
Smart,Bobby,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,"His Great Chance,A Shot in the Night,The Devil's Match",,,,George P. Johnson Negro Film Collection,,,
Moore,Gertrude,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,
Hart,Fred,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,
Burns,Fannette,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,
Russell,Sam,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,
Slater,Mark,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,
Baker,Josephine,Jo Baker,,,,,"The Siren of the Tropics,The Count,The Revue des Revues",,,,George P. Johnson Negro Film Collection,,,
Skinner,C. Lucien,,,,"GPJ Collection Box 9, Crispus Attucks News Review",,,,,,George P. Johnson Negro Film Collection,,,
Baker,Sam,,,,"Box 2, Baker, Sam, GPJ Collection

",,"The Thief of Bagdad,The Road to Mandalay,The Missing Link,Grandma Bernie Learns Her Letters,Louisiana,The Golden Lion,Tarzan",,,,George P. Johnson Negro Film Collection,,,
Rowland,Nina,,,,"Named in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Dumont,Dorothy,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Henderson,Frances,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Ross,Clinton,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Herman,Kid,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Teal,Joel,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Faltenburg,Master Henry,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Patrick,E.,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Smith,Henry,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Crockett,J.,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Dennis,E.M.,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,"""The $10,000 Trail""",,,,Frame by Frame: A Black Filmography (Part 1),,,
Rainey,Paul J.,,,,,,Paul J. Rainey's African Hunt,,Paul J. Rainey's African Hunt,,American Film Institute Catalog,,,
Hemment,John C.,,,,,,Paul J. Rainey's African Hunt,,,,American Film Institute Catalog,,,
Gourdin,Ned,,,,Harvard athlete. World's record holder in running broad jump. ,,Peacock News Reel #2,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Parlam,Florence,,,,,,Peacock News Reel #2,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Morison,Ernest ,Sunshine Sammy,,,,,"The Pickaninny,Sunshine Sammy",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Forbes Randolf Kentuck Jubilee Singers,,,,,,,"Pickin' Cotton,Slave Days",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Hall,Iris,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"The Homesteader,The Symbol of the Unconquered",,,,Oscar Micheaux and His Circle,,,
Smith,Inez,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). I wonder if there's an error somewhere, as an actor named ""Ethel Smith"" also exists in our filmography, and the name of Inez Smith's character in The Homesteader is Ethel. --MP",,The Homesteader,,,,Oscar Micheaux and His Circle,,,
Duncan,Vernon S.,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Homesteader,,,,Oscar Micheaux and His Circle,,,
Wood,Trevy,Trevy Woods,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Homesteader,,,,Oscar Micheaux and His Circle,,,
George,William,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Homesteader,,,,Oscar Micheaux and His Circle,,,
Edwards,Mattie,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"Within Our Gates,Rakoon Hose Company,The Brute,Sam and the Bully,Swami Sam,Who's Who,The Tale of a Chicken",,,,Oscar Micheaux and His Circle,,,
Edwards,Grant,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Chenault,Jack,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). Could this be an error? Might they have meant Lawrence? --MP",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Walker,C.J.,Madame C.J. Walker,,,,,,,Pythian Conclave and League Parley,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Edwards,John,,,,,,"Rakoon Hose Company,Rastus Knew It Wasn't,Sam and the Bully,Swami Sam,Who's Who,The Tale of a Chicken",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Scott,Luke,,,,,,"Rakoon Hose Company,The Tale of a Chicken",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Roseborough,D,,,,,,Rakoon Hose Company,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Lubin,Sigmund,,4/21/1851,9/11/23,,,,"Rakoon Hose Company,Rastus Among the Zulus,Rastus Knew It Wasn't,Sam and the Bully,Swami Sam,Who's Who,""Zeb, Zack, and the Zulus"",The Tale of a Chicken","Rastus Among the Zulus,Rastus Knew It Wasn't,Sam and the Bully,Swami Sam,Who's Who,""Zeb, Zack, and the Zulus"",The Tale of a Chicken",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Louis,Will,,,,,,,,Rakoon Hose Company,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Who's Who,,
Byron,Royal,,,,White,,Rastus Knew It Wasn't,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Paige,Mabel,,,,White,,Rastus Knew It Wasn't,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Lawrence,Ed,,,,White,,"Rastus Knew It Wasn't,Swami Sam",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Gorman,Grant,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Clements,Flo,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"Within Our Gates,The Brute",,,,Oscar Micheaux and His Circle,,,
La Rue,John,,,,,,Reckless Money,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Cook,Jimmie,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Lucas,Charles D.,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Watkins of Durham,,,,,,,,,,Reckless Money,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Johnson,Ralph,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Ruffin,James D.,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Dudley,Mary,,,,"Coreographer
",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Reckless Money
Ladd,Bernice,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Evelyn,Mrs.,Mrs. Evelyn,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Smith,William,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
Harris,LaFont,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,
David,N.C.,,,,,,,A Reckless Rover,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Jones,Lila Walker,,,,,,A Regeneration of Souls,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Gorgas,Alice,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,
Nolan,Kid,,,,Lightweight boxing champion,,"A Regeneration of Souls,""Shoot 'Em Up, Sam""",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Cutler,Marty,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,
Bowman,Laura,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,
Williams,Virgil,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,"The Brute,In the Depths of Our Hearts",,,,Oscar Micheaux and His Circle,,,
Plater,Henry,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,
Gaines,Al,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,
Timblin,Slim,,,,,,Revival Day,,,,,,,
Thompson,Walker,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,
Nalpas,Alex,,,,,,,,The Revue des Revues,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Catlin,George,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,
King,Edward E.,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,
Dixon,Gabrielle,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Wilkes,Mattie V.,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,"The Symbol of the Unconquered,The Gunsaulus Mystery,The Conjure Woman,For His Mother's Sake",,,,Oscar Micheaux and His Circle,,,
Luquet,Andre,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
de Balzac,Jeanne,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Carise,Erna,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Varna,Henri,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Burroughs,James,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,
Fraction,Edward,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,
Loach,Lena,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,
Abrams,Ed,Dick Abrams,,,"Could he be the same as ""Edward Abrahams""? Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Bearden,Bessye,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Wild West Rodeo,,,,,,,Saddle Daze,,,,,,,
Williams,Ethel,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Brown,Edward,Eddie Brown,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Watts,Ethel,,,,"Could she be the same as ""Ethel Watson""? Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
smith,,,,,,,,,,,,,,
Smith,Bessie,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Mordecai,Jimmy,,,,,,"St. Louis Blues,Yamekraw",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Christian,Hattie,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Washington,Isabel,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sindle,W.D.,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Lee,Johnny,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Russell,George,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Hall Johnson Chorus,,,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Kroll,Alex,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,
Murphy,Dudley,,,,,,,St. Louis Blues,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Sack,Alfred,,,,,,,,St. Louis Blues,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Handy,W.C.,,,,Choral arrangements with Rosamund Johnson,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,St. Louis Blues
Johnson ,Rosamund,,,,Choral arrangements with W.C. Handy,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,St. Louis Blues
Strenge,Walter,,,,,,,,,St. Louis Blues,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Shields,Russell,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",St. Louis Blues,,
Oschmann,George,,,,Recordist ,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,St. Louis Blues
Sargent,E.W.,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""","Sam and the Bully,Swami Sam",,
Bruckner,August,,,,,,,Samba,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Hawley,Monte,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Anthony,Emmett,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Ellis,Evelyn,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Dove,Marie,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Fletcher,Oroville,,,,,,Shadowed by the Devil,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Brown,Margaret,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Mills,Gertrude,,,,,,Shadowed by the Devil,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Robinson,Walter,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Stewart,Dink,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Webb,M.M.,Mrs. M.M. Webb,,,Film based on story written by Mrs. M.M. Webb,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,Shadowed by the Devil
Sewall,Olivia,,,,"Same as Alma Sewall, or different? Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Moran,Eddie,,,,,,Shake It Up,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Challis,Beth,,,,,,Shake It Up,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Smallwood,Mildred,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,
Major,Cincinattus,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.) as involved in traveling publicity for Micheaux. --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,Micheaux Film Corporation,
Easton,Sidney,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Conjure Woman,,,,Oscar Micheaux and His Circle,,,
McLane,Lorenzo,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Jackson,Zodiac,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Smythe,Grace,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Loveless,Henrietta,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Rodgers,Marshall,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Gulport,Billy,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Williams,Cy,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Diggs,Josiah,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Barr,Edna,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Williams,Palestine Delores,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,
Monagas,,,,,,,,,,,,,,
Bracken,Vera,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Millionaire,,,,Oscar Micheaux and His Circle,,,
Abbott,Robert,,,,"Editor and publisher of Chicago Defender. Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Millionaire,,,,Oscar Micheaux and His Circle,,,
Abbott,Mrs. Robert,,,,"Wife of editor/publisher of Chicago Defender. Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Millionaire,,,,Oscar Micheaux and His Circle,,,
Hoelby,Walter,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
Freeman,Ruth,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,
